timestamp,experiment_id,tag,model,fold,cleaning,nlp_method,embedding,epochs,batch_size,train_time_sec,f1_macro,recall_neg,precision_pos,notes
2025-11-17T14:01:36.266652+00:00,C04,C04_LSTM_BI_20251117-090027,lstm,2,lemmatize,keras_tokenizer,word2vec,20,256,30.938568394994945,0.7802753454648221,0.8112359550561797,0.9600783737447955,BiLSTM C04 receta cuDNN
2025-11-17T14:02:05.768834+00:00,C04,C04_LSTM_BI_20251117-090027,lstm,3,lemmatize,keras_tokenizer,word2vec,20,256,31.69029479099845,0.7757927986727946,0.849438202247191,0.9671084928816888,BiLSTM C04 receta cuDNN
2025-11-17T14:06:40.364899+00:00,C05,C05_LSTM_BI_20251117-090613,lstm,1,stem,keras_tokenizer,learned,20,256,26.0119882220024,0.7586099327195465,0.797979797979798,0.9598246895544192,BiLSTM C05 receta cuDNN
2025-11-17T14:07:13.252520+00:00,C05,C05_LSTM_BI_20251117-090613,lstm,2,stem,keras_tokenizer,learned,20,256,35.90847823400691,0.7760603167780032,0.7415730337078652,0.9481566820276498,BiLSTM C05 receta cuDNN
2025-11-17T14:07:49.532111+00:00,C05,C05_LSTM_BI_20251117-090613,lstm,3,stem,keras_tokenizer,learned,20,256,39.23622846399667,0.7743575764699542,0.8449438202247191,0.9653477512902433,BiLSTM C05 receta cuDNN
2025-11-17T14:11:45.060634+00:00,C06,C06_LSTM_BI_20251117-091103,lstm,1,stem,keras_tokenizer,word2vec,20,256,42.2080165649968,0.7773416923506774,0.7789001122334456,0.9607228915662651,BiLSTM C06 receta cuDNN
2025-11-17T14:12:17.576093+00:00,C06,C06_LSTM_BI_20251117-091103,lstm,2,stem,keras_tokenizer,word2vec,20,256,34.92241743899649,0.7787567947736121,0.8247191011235955,0.9634803921568628,BiLSTM C06 receta cuDNN
2025-11-17T14:12:50.372915+00:00,C06,C06_LSTM_BI_20251117-091103,lstm,3,stem,keras_tokenizer,word2vec,20,256,35.754364948996226,0.7692721720294102,0.8,0.9655172413793104,BiLSTM C06 receta cuDNN
2025-11-17T14:18:24.777936+00:00,C07,C07_LSTM_BI_20251117-091739,lstm,1,baseline,keras_tokenizer,learned,20,256,46.21522784800618,0.7811765055809573,0.7710437710437711,0.9495720564422855,BiLSTM C07 max_len384
2025-11-17T14:19:02.790311+00:00,C07,C07_LSTM_BI_20251117-091739,lstm,2,baseline,keras_tokenizer,learned,20,256,41.143107352996594,0.7873151406078303,0.8247191011235955,0.9562337355098178,BiLSTM C07 max_len384
2025-11-17T14:19:42.308184+00:00,C07,C07_LSTM_BI_20251117-091739,lstm,3,baseline,keras_tokenizer,learned,20,256,42.321225870997296,0.7845913490238344,0.8292134831460675,0.9639399806389157,BiLSTM C07 max_len384
2025-11-17T14:22:50.939639+00:00,C08,C08_LSTM_BI_20251117-092340,lstm,1,baseline,keras_tokenizer,word2vec,20,256,33.492017784999916,0.7881351551491718,0.7934904601571269,0.9469593049839964,BiLSTM C08 word2vec256
2025-11-17T14:23:20.413343+00:00,C08,C08_LSTM_BI_20251117-092340,lstm,2,baseline,keras_tokenizer,word2vec,20,256,31.956915331000346,0.7798208157883959,0.8617977528089887,0.9693145261073992,BiLSTM C08 word2vec256
2025-11-17T14:23:55.346189+00:00,C08,C08_LSTM_BI_20251117-092340,lstm,3,baseline,keras_tokenizer,word2vec,20,256,37.771367526001995,0.7478600771606926,0.6404494382022472,0.957122439256789,BiLSTM C08 word2vec256
